Medical Term,Meaning,llama_explanation
Growth Hormone Deficiency,Insufficient growth hormone affecting height.,"This is a condition where the body doesn't make enough of a special helper that makes kids grow strong and tall. Without it, kids might not grow as fast or as tall as they should, and might look and feel different from their friends."
Eczema,"A condition causing itchy, inflamed skin.","It's a skin condition where certain areas of the skin become red, itchy, and dry. It can cause discomfort and make you feel scratchy. The skin may also crack or ooze fluids. It's not contagious and can be treated with cream, ointments, or other remedies to soothe and calm the skin."
Diaper Rash,Skin irritation in the diaper area.,"This is a common problem in babies where the skin around their bottom gets red, sore, and tender. It's usually caused by wearing dirty diapers for too long, and the skin reacts to the trapped moisture and bacteria. It can be painful and uncomfortable for the baby."
Urticaria (Hives),"Raised, itchy welts on the skin.","

It's when your skin gets itchy, red, and swollen, and breaks out in blotches or bumps. It can happen anywhere on your body and can be very uncomfortable. It might look like a rash, and it can come and go quickly, or stick around for a while."
Alopecia Areata,Hair loss in patches.,"This is a condition where chunks of hair fall out, usually in circular patches, without any warning. It can happen on the scalp, face, or body. The hair may grow back, but it can also fall out again. It's not because of anything you did, and it's not contagious."
Psoriasis,"A skin condition causing red, scaly patches.","It's a skin condition where red, flaky patches appear on the skin. It can be itchy and uncomfortable. The skin cells grow too quickly, causing a buildup of extra skin that forms scales. It's not contagious and can't be passed from person to person."
Tinea (Ringworm),Fungal infection of the skin or scalp.,"A common skin infection that causes a ring-shaped rash with raised edges and a clear center. It's contagious and can spread from person to person or from animals. It's usually itchy and can appear on the scalp, body, or feet."
Scabies,Skin infestation caused by mites.,"

It's a contagious skin infection that causes intense itching, especially at night. Tiny bugs burrow into the skin, laying eggs and causing a rash. The infected skin becomes scaly, red, and blistered. It's highly contagious and can spread through skin-to-skin contact or sharing personal items."
Anemia,Low red blood cell count or hemoglobin.,"Your body doesn't have enough red blood cells or they're not doing their job well. This means you don't have enough oxygen being carried to your organs and tissues, making you feel tired, weak, and sometimes short of breath. It's like your body's engine is running low on fuel."
Leukemia,A type of blood cancer common in children.,"It's a type of cancer that affects your blood cells. Normally, your body makes healthy blood cells, but with this disease, it makes abnormal ones that can't do their job. These bad cells multiply fast and crowd out the good ones, making you feel tired, weak, and prone to infections."
Down Syndrome,A genetic disorder causing developmental delays.,"Some people are born with a difference in their body's growth that affects how their brain and body develop. This can cause delays in learning and physical growth, and may lead to heart problems or other health issues. Despite this, many people with this condition live happy and fulfilling lives."
Autism Spectrum Disorder (ASD),A developmental condition affecting communication and behavior.,"Some people's brains work differently, making it hard for them to understand and communicate with others. They might have trouble making friends, following rules, or understanding tone of voice. They might also do things over and over, like repeating words or movements, to feel calm and comfortable."
ADHD (Attention,Deficit/Hyperactivity Disorder): A condition affecting focus and self-control.,"

It's a condition where people have trouble focusing on one thing for a long time, get easily distracted, and might feel restless or impulsive. It can make everyday tasks, like schoolwork or chores, really hard to finish."
Hemophilia,A bleeding disorder due to lack of clotting factors.,"Some people's bodies have trouble stopping bleeding when they get hurt. Their blood doesn't clot properly, so they might bleed a lot from a small cut or injury. This can be very serious and even life-threatening if not treated."
Sickle Cell Disease,A genetic blood disorder causing misshapen red blood cells.,"

Some people are born with a problem in their blood cells. Normally, these cells are round and flow easily through tiny blood vessels. But in this condition, the cells are shaped like a crescent moon and get stuck, causing pain, infections, and other health issues."
Birth Weight,"A newborn’s weight at birth, classified as low, normal, or high.",How much a baby weighs when they are born. It's the first thing doctors check after delivery to make sure the baby is healthy. It's an important measure because it can affect the baby's development and health later on.
Apgar Score,A test given to newborns to assess their health immediately after birth,"""When a baby is born, doctors check how well they're doing by looking at their heart rate, breathing, muscle tone, and skin color. They give a score based on how well the baby is doing in these areas. This score helps doctors know if the baby needs extra help or is doing fine on their own."""
Sudden Infant Death Syndrome (SIDS),The unexplained death of a seemingly healthy infant during sleep.,"This is when a healthy baby, usually under a year old, dies suddenly and unexpectedly while sleeping, and doctors can't find a reason why. It's as if the baby just stopped breathing or their heart stopped beating while they were asleep, and it's very sad and unexpected for the parents."
Milestones,"Developmental achievements such as sitting, crawling, or walking.","Milestones are important steps or achievements in a person's life or development, like learning to walk or talk, that mark significant progress or changes. They help us measure how someone is growing and developing, and can be an exciting and proud moment for families and caregivers."
Anomaly,A structural or functional abnormality present at birth.,"Something that's not normal or usual. It's when things don't go as expected, and something unusual or unexpected happens. It can be in our body, in the environment, or in a situation. It's like finding a puzzle piece that doesn't fit with the others. It's unusual and stands out."
Toddler: A child aged 1,3 years.,"A toddler is a young child who is learning to walk and talk. At this stage, they're very curious, energetic, and starting to explore the world around them. They're taking their first steps, saying their first words, and testing boundaries to see what they can do."
Adolescent: A young person aged 10,19 years.,"So, this refers to a young person who is no longer a child, but not yet a full-grown adult. They're in a stage of life where they're growing and changing rapidly, both physically and emotionally."
Vaccination Schedule,A timeline for immunizations to prevent diseases.,"A plan for getting a series of shots to protect you from certain diseases. It tells you when to get each shot, and how many you need, to build up your immunity and keep you safe from getting sick."
Premature Infant,A baby born before 37 weeks of gestation.,"A baby born too soon, before it's fully grown and ready to come out. Its body isn't strong enough, and it may need extra care to breathe, eat, and stay warm. Sometimes, it needs to stay in a special hospital bed to help it grow stronger."
Anthropometry,"Measurement of body size and composition, including height, weight, and head circumference.","It's the study of the size and shape of the human body. Researchers measure things like height, weight, and body fat to understand how our bodies are built and how they change over time. This helps us learn about health, growth, and development."
Allergic Rhinitis,Nasal inflammation caused by allergies.,"When your body reacts badly to things in the air like pollen, dust, or pet hair, it can cause your nose to get stuffy, runny, and itchy. You might sneeze a lot or get headaches. It's like your body is trying to fight off an invader, but it's just a harmless thing in the air!"
Sinusitis,Inflammation of the sinuses.,"of sinusitis in simple language:

When the small air spaces in your face (above and below your nose) get infected or inflamed, they can become painful and stuffy, making it hard to breathe and causing facial pain."
Nasopharyngitis,"Common cold, an upper respiratory tract infection.","

When the passages behind your nose and above the back of your throat get inflamed and swollen, it can cause congestion, sinus pressure, and discomfort. This can make it hard to breathe, smell, and taste, and might even give you a headache."
Pertussis,"Whooping cough, a highly contagious bacterial infection.","This is a contagious illness that affects the lungs and airways. It causes severe coughing fits, which can lead to vomiting and difficulty breathing. The coughing can be so intense that it's hard to catch your breath, and can last for weeks or even months."
Tuberculosis (TB),A bacterial infection affecting the lungs.,"It's a serious infection that usually affects the lungs, but can also infect other parts of the body. It's caused by bad germs that are spread from person to person through the air when an infected person coughs or sneezes. It can make you very sick and even kill you if not treated."
Sleep Apnea,Interrupted breathing during sleep.,"When you sleep, your body stops breathing for short periods, many times throughout the night. This can happen because your airway gets blocked or your brain forgets to tell your body to breathe. It can make you tired, grumpy, and affect your overall health."
Chronic Cough,Persistent cough lasting more than four weeks.,"A cough that lasts for a long time, usually more than 8 weeks, and doesn't go away. It's like having a persistent tickle in your throat that you can't shake off, and it can be really annoying and frustrating."
Interstitial Lung Disease,A group of lung disorders causing scarring of the lung tissue.,"

""It's a condition where the tiny air sacs in your lungs get scarred and stiff, making it hard to breathe. Imagine trying to inflate a balloon with holes in it - that's what's happening in your lungs. It makes it difficult to get enough oxygen, leaving you feeling tired and short of breath."""
Foreign Body Aspiration,"Inhalation of an object into the airway, common in toddlers.","When someone breathes in something that shouldn't be in their lungs, like food, liquid, or an object, it can get stuck and cause serious problems. This happens when something goes down the wrong pipe and gets into the airways, blocking the flow of air."
Cystic Fibrosis,A genetic disorder affecting the lungs and digestive system.,"of Cystic Fibrosis in simple language:

A person's body produces thick, sticky mucus that clogs up their lungs, digestive system, and other organs, making it hard to breathe, digest food, and absorb nutrients. This leads to frequent lung infections, coughing, and trouble gaining weight."
Endocarditis,"Inflammation of the heart’s inner lining, often caused by infection.","

It's an infection that happens inside your heart. Germs get into your bloodstream and travel to your heart, where they cause problems. The inner lining of your heart gets infected, which can lead to serious health issues if not treated promptly."
Kawasaki Disease,A condition causing inflammation in blood vessel,"

A rare illness that mostly affects young children. It causes a high fever, red eyes, and swollen hands and feet. The illness can also cause skin rashes and swollen lymph nodes. If left untreated, it can lead to serious heart problems."
Patent Ductus Arteriosus (PDA),A heart defect where a fetal blood vessel fails to close after birth.,"""In the womb, a passage connects two major blood vessels to help the baby's heart. After birth, this passage usually closes. But sometimes it stays open, causing problems. This means blood flows the wrong way, which can lead to heart problems and breathing difficulties."""
Coarctation of the Aorta,"Narrowing of the aorta, restricting blood flow.","A narrowed or blocked part in the main blood vessel that carries oxygen-rich blood from the heart to the rest of the body, making it harder for blood to flow and causing problems for the body."
Hypoplastic Left Heart Syndrome,A congenital defect where the left side of the heart is underdeveloped.,"This is a rare heart condition where the left side of the heart doesn't develop properly. It's like having a heart that's not fully built, making it hard for the heart to pump blood efficiently. This can lead to breathing problems, fatigue, and other issues."
Ventricular Septal Defect (VSD),A hole in the wall between the heart’s ventricles.,"A hole in the wall that separates the two main chambers of the heart, allowing oxygen-rich and oxygen-poor blood to mix, which can make the heart work harder and lead to breathing problems."
Atrial Septal Defect (ASD),A hole in the wall between the heart’s atria.,"There's a hole in the wall that separates the two upper chambers of the heart. This hole lets blood flow from one chamber to the other, which can cause problems. It's like having a broken divider between two rooms in your house, and things can get mixed up."
Tetralogy of Fallot,A complex congenital heart condition with four abnormalities.,"A heart condition where four things go wrong at once. The heart's walls are wrongly shaped, a valve is narrow, a hole connects two heart chambers, and the heart's plumbing is mixed up. This messes up blood flow, making it hard for the heart to pump oxygen-rich blood to the body."
Pulmonary Hypertension,High blood pressure in the arteries of the lungs.,"of Pulmonary Hypertension in simple terms:

Your heart pumps blood to your lungs to pick up oxygen. In this condition, the blood pressure in the lungs becomes too high, making your heart work harder to pump blood. This can make you feel short of breath, tired, and weak."
Cardiomyopathy,A disease of the heart muscle affecting its ability to pump blood.,"

When the heart muscle gets weak or damaged, it can't pump blood properly. This can lead to symptoms like fatigue, shortness of breath, and swelling in the legs and feet. If left untreated, it can even cause heart failure."
Encephalopathy,Brain dysfunction caused by disease or injury.,"

It's a condition where the brain doesn't work properly. This can happen when the brain is damaged or affected by something, like a virus or toxins. It can cause problems with thinking, memory, and behavior, and can even lead to confusion, seizures, or coma."
Spina Bifida,A birth defect affecting the spine and spinal cord.,"When a baby is growing inside the womb, the spine doesn't form properly. This leaves a gap or opening in the spine, which can cause problems with the nervous system and affect the way the body works. It can also lead to physical disabilities and other health issues."
Myelomeningocele,The most severe form of spina bifida with spinal cord exposure.,"This is a birth defect where the spine doesn't form properly, leaving a gap or opening in the backbone. This gap can cause problems with the nerves and can affect the way the brain and body communicate, leading to physical disabilities and health issues."
Neurofibromatosis,A genetic disorder causing tumors on nerve tissue.,"This is a condition where abnormal growths, like bumps or tumors, form on nerve tissues in the body. These growths can cause a range of problems, from mild to severe, and can affect different parts of the body, such as the skin, eyes, or internal organs."
Tethered Cord Syndrome,A condition where the spinal cord is abnormally attached within the spine.,"This condition occurs when the spinal cord becomes attached to the spine, restricting its movement. Imagine a jump rope tethered to a pole - it can't move freely. Similarly, the spinal cord gets stuck, causing problems with sensations, movements, and even bowel/bladder control. It can happen at birth or later in life."
Guillain,"Barré Syndrome: A rare condition where the immune system attacks nerves, causing weakness.","This is a condition where your immune system mistakenly attacks your nerves, causing weakness, numbness, or tingling in your muscles and body. It can start after an illness or infection, and can make it hard to walk, move, or even breathe."
Febrile Seizure,A seizure caused by fever in young children.,"""When a child gets a very high fever, their brain can get mixed up and cause their body to shake or twitch uncontrollably. This can be scary, but it usually goes away on its own and doesn't hurt the child."""
Atonic Seizure,"Sudden loss of muscle tone, causing a child to collapse.","Imagine your muscles suddenly going completely limp and weak, like a rag doll. You might fall or slump over, and you can't control your body. It's like your muscles have ""given up"" for a few seconds, and you can't move or respond."
Bell’s Palsy,Temporary facial paralysis due to nerve injury,"It's a condition where one side of your face becomes weak and droopy. Your eyelid might droop, and your smile might look uneven. It's like someone pulled a string on one side of your face, making it sag. It can be scary, but usually, it goes away on its own with time."
Tics,"Sudden, repetitive movements or sounds, common in Tourette Syndrome.","Tics are sudden, repetitive movements or sounds that people make without wanting to. It might be blinking their eyes, tapping their foot, or making a strange noise with their mouth. It's like their body is doing something on its own, and they can't help it."
Necrotizing Enterocolitis (NEC),A severe intestinal disease in premature infants.,"

A dangerous condition where the lining of the intestines gets damaged and dies, causing a hole in the intestine. This allows bacteria from food to leak into the bloodstream, making the baby very sick and potentially leading to serious health problems."
Abdominal Distension,"Swelling of the abdomen, often due to gas or fluid.","

Your belly gets bigger and feels tight, like it's inflated like a balloon. This can happen when there's too much gas or fluid inside your tummy, or when your intestines get blocked. It can be uncomfortable and even painful."
Anal Fissure,A small tear in the lining of the anus.,"A painful tear or crack in the lining of the anus, usually caused by constipation or diarrhea. It can cause bleeding, itching, and discomfort during bowel movements. The tear can be small or large, and treatment usually involves changing diet and bowel habits to help it heal."
Crohn’s Disease,Chronic inflammation of the digestive tract.,"Your digestive system has a lining that helps food move through. Sometimes, this lining gets swollen and painful, making it hard for food to pass through. This can cause belly pain, diarrhea, and weight loss. It's like having a constantly upset stomach that never goes away."
Ulcerative Colitis,Chronic inflammation of the colon and rectum.,"

Your digestive system gets really inflamed and irritated, causing sores and bleeding in your colon and rectum. This leads to diarrhea, stomach pain, and fatigue. It's like having a never-ending bad stomach flu that won't go away."
Celiac Disease,An autoimmune disorder triggered by gluten.,"Some people's bodies get mixed up and think that a certain part of wheat, barley, and rye is bad. When they eat these foods, their body gets upset and hurts their insides. They need to avoid these foods to feel better and stay healthy."
Lactose Intolerance,"Inability to digest lactose, a sugar in milk.","Some people's bodies can't digest a type of sugar found in milk and other dairy products. When they consume these foods, their body can't break down the sugar, which can cause uncomfortable symptoms like bloating, gas, and stomach cramps."
Appendicitis,"Inflammation of the appendix, requiring urgent treatment.","Your body has a small pouch attached to your large intestine. Sometimes, this pouch can get blocked and fill with bad stuff, which makes it swell up and hurt a lot. If it bursts, it can spread the bad stuff inside your belly and make you very sick."
Esophageal Atresia,A congenital condition where the esophagus doesn’t connect to the stomach.,"Imagine a tube that carries food from the throat to the stomach. In some babies, this tube is blocked or doesn't connect properly, so food can't reach the stomach. This means they can't eat or digest food normally, and they need help to fix the problem."
Omphalocele,A birth defect where abdominal organs protrude through the belly button.,Some babies are born with a hole in their belly button area. This hole can have some of the baby's intestines or other organs sticking out through it. This can cause problems for the baby and needs to be fixed with surgery soon after birth.
Enuresis,Bedwetting or involuntary urination.,"Bedwetting is when a person can't control their bladder at night and accidentally pees in their bed while they're sleeping. This can be very embarrassing and frustrating, especially for kids and teenagers who want to be dry and clean like their friends."
Urinary Tract Infection (UTI),Infection in the urinary system.,"

""When bad germs get inside your pee tubes, they can cause pain, burning, and discomfort when you go to the bathroom. You might also feel like you need to go often, even if you don't have much pee. It's like having a nasty little invader inside you that needs to be cleared out!"""
Nephrotic Syndrome,A kidney disorder causing excess protein loss in urine.,"

Your kidneys filter waste and excess water from your blood. When they're unhealthy, they let too much protein and water leak out into your urine, causing swelling, especially in your feet and ankles. This can lead to other health problems if not treated."
Hypospadias,A birth defect where the urethral opening is on the underside of the penis.,"This is a birth defect where the opening of the tube that carries urine from the body is not in the normal place on the boy's body part. Instead, it's lower down, which can cause problems with peeing and other issues. Surgery can often fix this problem."
Cryptorchidism,Undescended testes in newborn boys.,"This is a condition where one or both of a boy's testicles don't move down into the scrotum (the sac that holds them) after birth, like they're supposed to. Instead, they stay inside the belly or partly descend, which can cause problems later on."
Renal Dysplasia,Abnormal development of one or both kidneys.,"This is a birth defect that affects the kidneys. Instead of growing normally, the kidneys don't develop properly and can be smaller or irregularly shaped. This can cause problems with filtering waste and excess water from the blood, leading to health issues."
Hematuria,Blood in the urine.,"

When you pee, your urine is usually clear and yellow. But sometimes, there might be blood in it, which can make it look pink, red, or brown. This can be a sign that something is wrong inside your body, and you should see a doctor to figure out what's going on."
Pyelonephritis,A kidney infection.,"

It's an infection that starts in your bladder and travels up to your kidneys. It can cause painful urination, fever, and back pain. If left untreated, it can seriously harm your kidneys and even lead to life-threatening complications."
Vesicoureteral Reflux (VUR),Backward flow of urine from the bladder to the kidneys.,"

When you pee, your body is supposed to keep the pee from flowing back up into your kidneys. But sometimes, the pee can flow backward and get stuck in your kidneys, which can cause problems. This can lead to infections and hurt your kidneys over time."
Nephritis,Inflammation of the kidneys.,"of Nephritis in simple language:

When the tiny filters in your kidneys get inflamed and swollen, they can't clean your blood properly. This can cause waste to build up in your body, making you feel unwell. If left untreated, it can lead to serious kidney problems."
Scoliosis,Abnormal curvature of the spine.,"Imagine a straight line running down your spine. For some people, that line curves to one side, like a crooked finger. This curve can make the shoulders, hips, or waist look uneven, and can cause back pain or breathing problems if it gets severe."
Clubfoot (Talipes Equinovarus),A birth defect where the foot is twisted out of shape.,"A birth defect where a baby's foot is twisted inward and upward, making it point downwards. The foot and ankle are curved in an unusual way, making it difficult to walk or stand. It can be fixed with treatment, but if left untreated, it can cause problems with mobility and balance."
Osteogenesis Imperfecta,A genetic condition causing brittle bones.,"This is a condition where a person's bones are very fragile and break easily. It's like having glass bones that can shatter with just a slight bump or fall. This can cause many broken bones, pain, and difficulty moving around. It's a lifelong condition that needs careful management to prevent injuries."
Juvenile Idiopathic Arthritis (JIA),Chronic joint inflammation in children.,"Some kids get joint pain and swelling that doesn't go away. It's like having a constant ache in their knees, elbows, or fingers. It can make it hard for them to move around and do daily activities. The cause is unknown, but with treatment, kids can feel better and have a more normal life."
Torticollis,A condition causing the head to tilt due to tight neck muscles.,"This is a condition where the neck muscles tighten, causing the head to twist or tilt to one side. It can make it hard to move your head or keep it straight, and can even cause pain. It's like having a stubborn neck that refuses to straighten up!"
Rickets,Weak or soft bones in children due to vitamin D deficiency.,"A condition that affects children's bones, making them soft and weak. This happens when the body doesn't get enough of certain essential nutrients, like vitamin D or calcium, which are important for building strong bones. As a result, bones can become deformed, causing bowed legs, stunted growth, and other problems."
Fracture,"A break in a bone, common in active children.","When a bone breaks, it's like when you snap a twig in two. The bone cracks or splits, and it can be painful. It can happen from a fall, a blow, or even just bending or twisting the wrong way."
Genu Varum,"Bowed legs, common in toddlers.","This is a condition where the legs curve inward, making the knees touch or come close together even when the feet are apart. It's like when you stand with your feet shoulder-width apart, but your knees are closer together than your feet. It can cause discomfort and difficulty walking."
Genu Valgum: Knock,"knees, where knees touch but ankles do not.","When you have this condition, your knees bend inward, making them touch or come very close together when you stand with your feet together. This can make your legs look like they're shaped like an ""X""."
Thalassemia,A genetic blood disorder causing anemia due to abnormal hemoglobin.,"Thalassemia is a genetic disorder where the body doesn't produce enough healthy red blood cells. This leads to anemia, fatigue, and pale skin. The body can't make hemoglobin, a vital protein in red blood cells that carries oxygen to the body's tissues, causing weakness and tiredness."
Iron,Deficiency Anemia: anemia due to low iron levels.,"This essential nutrient helps your body carry oxygen to all its parts. It's like a delivery truck that brings oxygen to your cells, making sure they work properly. Without it, you might feel tired, weak, and short of breath. Food like meat, spinach, and beans are good sources of it."
Hemolytic Anemia,A condition where red blood cells are destroyed faster than they are made.,"

Your body destroys its own red blood cells, which are needed to carry oxygen. This leaves you with fewer red blood cells than normal, making you feel tired, weak, and short of breath. It's like your body is attacking its own vital delivery system, leaving you feeling drained."
Miliaria,Heat rash caused by blocked sweat ducts.,"

Small, itchy bumps on the skin that can appear after being in the heat or sweating a lot. They happen when sweat gets trapped under the skin, causing irritation and discomfort. It's usually not serious and can be treated with cool baths and keeping the skin cool and dry."
Nevus,A mole or birthmark,"A birthmark that is a small patch of discolored skin, usually brown or black, that is present at birth or appears soon after. It's a area of skin where the cells that produce color are clustered together, making it darker than the surrounding skin."
Hemangioma,"A growth of blood vessels, often appearing as a red birthmark.","A type of benign growth that appears on the skin or inside the body. It's caused by abnormal blood vessels that multiply excessively, forming a lump or discoloration. It's usually harmless and may fade or disappear on its own, but can be treated if it's causing problems."
Keratosis Pilaris,"Small, rough bumps on the skin caused by keratin buildup.","This is a common skin condition where small, rough, sandpapery bumps appear on the skin, usually on the arms, legs, and buttocks. The bumps can feel like sandpaper or tiny goosebumps and may be accompanied by dry, itchy skin. It's harmless and often runs in families."
"Erythema Multiforme: A skin reaction often triggered by infections, with red, target",like spots.,"

Sometimes, after an infection, your skin can break out in red spots that look like targets. These spots can be small or large and can appear anywhere on your body. They can be itchy or painful, and might take a few weeks to go away on their own."
Seborrheic Dermatitis,"A skin condition causing scaly patches, often on the scalp (cradle cap).","This is a skin condition that causes flaky, crusty patches on the scalp, face, and other areas. It can be itchy and uncomfortable. The patches can be yellow or white and may look greasy. It's not contagious and can be treated with creams or shampoos to make the skin feel better."
Ichthyosis,"A group of genetic disorders causing dry, scaly skin.","Imagine your skin is like a dry, rough, scaly fish. It gets thick and hard, and can crack and flake off. It can be itchy and uncomfortable, and make it hard to move or stretch. It's like having a permanent, unwanted layer of rough skin that doesn't go away."
Vitiligo,"Loss of skin pigment, leading to white patches.","Some people's skin starts to lose its color, creating white patches. This can happen anywhere on the body, including the face, hands, and feet. It's like the skin's color factory stops working in certain areas, leaving behind pale or white spots."
Erythema Toxicum Neonatorum,"A common, harmless rash in newborns.","It's a common skin rash that appears on newborn babies. It looks like small, red or yellowish bumps on the skin, often on the face, chest, and back. It's harmless and goes away on its own within a week or two."
Pityriasis Rosea,"A rash that starts with a single ""herald patch"" and spreads.","

A skin rash that usually starts with a large, oval-shaped patch on the chest or back, followed by smaller, similar patches on other parts of the body. It's itchy, but not contagious, and goes away on its own after a few weeks."
Hyperthyroidism,Overactive thyroid gland producing too much hormone.,"

Your body has a tiny gland in your neck that helps control how fast your body works. Sometimes, this gland gets too active and makes your body work too fast. This can make you feel anxious, tired, and lose weight, even if you're eating more."
Hypothyroidism,Underactive thyroid gland producing insufficient hormone.,"

Your body has a special gland that helps control how fast your body works. When this gland doesn't work quite right, your body can start to slow down. You might feel tired, cold, and a bit sluggish. It's like your body's engine is running on low fuel!"
Precocious Puberty,"Early onset of puberty, before age 8 in girls and 9 in boys.","When kids' bodies start changing into adults too early, it's a problem. Instead of growing up at the normal age, their bodies start making grown-up changes, like breasts growing or voices deepening, when they're still very young. It can be confusing and worrying for kids and their families."
Delayed Puberty,Absence of puberty signs by the expected age.,"This is when a person's body doesn't start changing into an adult as expected. Normally, kids start developing physically and emotionally around age 10-12. But for some, these changes might happen later, often around age 14-16. It's like their body's internal clock is running a bit behind schedule."
Diabetic Ketoacidosis (DKA),A serious complication of diabetes involving high blood sugar and ketones.,"When you have diabetes, your body can't use the sugar it needs for energy. Instead, it starts breaking down fat, which creates bad chemicals in your blood. This can make you feel very sick, with symptoms like nausea, vomiting, and exhaustion. If not treated, it can be life-threatening."
Turner Syndrome,"A genetic condition affecting girls, characterized by short stature and ovarian dysfunction.","Some girls are born with a condition that affects their growth and development. They may be shorter than average, and their ovaries (the parts that make eggs) don't work properly. This can make it hard for them to get pregnant when they grow up."
Klinefelter Syndrome,"A genetic condition in boys with an extra X chromosome, affecting physical and cognitive development.","Some boys are born with extra sex chromosomes, which can affect how their body grows and develops. This can cause tall stature, extra breast tissue, and fertility issues. It's a genetic condition that happens at birth and affects about 1 in 1,000 boys."
Congenital Hypothyroidism,Low thyroid hormone levels present at birth.,"Some babies are born with a problem where their thyroid gland, a small gland in the neck, doesn't work properly. This gland helps control growth and energy. Without it working right, babies may not grow or develop normally. They might be tired, slow, or have problems with their brain development."
Pituitary Tumor,A growth in the pituitary gland that can disrupt hormone production.,"A growth in the brain that can affect how hormones are controlled in the body. It's like a small lump that grows in a special part of the brain that helps regulate things like growth, energy, and other bodily functions. It can cause problems if it gets too big or grows in the wrong place."
Roseola,A viral illness causing high fever and a rash in young children.,"This is a common illness in babies and young kids. It starts with a high fever that lasts for a few days, followed by a rash that looks like small, pink patches all over the body. The fever goes away, and the rash disappears on its own after a week or so."
Rubella,"Also known as German measles, a contagious viral infection.","It's a contagious illness that can cause a mild fever, sore throat, and a rash that starts on the face and spreads to the rest of the body. It's often mistaken for other illnesses, but it's more serious for pregnant women because it can harm their unborn baby."
Toxoplasmosis,A parasitic infection that can affect newborns if the mother is infected during pregnancy.,"

A tiny parasite can infect you through contaminated food or water, or from contact with cat poop. It can cause flu-like symptoms, and in rare cases, harm the brain and eyes. Pregnant women and people with weak immune systems are more at risk."
Listeriosis,"A bacterial infection from contaminated food, dangerous in newborns.","A type of food poisoning that can cause fever, headache, and stiffness in the neck. It's usually spread through contaminated food, like soft cheeses, hot dogs, and raw vegetables. It's especially dangerous for pregnant women, older adults, and people with weakened immune systems."
Neonatal Sepsis,"A severe infection in newborns, often caused by bacteria.","When a newborn baby gets a bad infection, it can make them very sick. The infection can spread quickly and make the baby's tiny body fight hard to get better. This can be very serious and even life-threatening if not treated right away."
Candidiasis,"A fungal infection, often seen as diaper rash or oral thrush in infants.","It's a common infection that happens when there's too much of a certain type of fungus in the body. It can cause itching, redness, and discharge in areas like the mouth, vagina, or skin folds. It's usually easily treated, but can be uncomfortable and embarrassing until it's cleared up."
Strep Throat,A bacterial throat infection caused by Group A Streptococcus.,"A bad kind of sore throat that can make you very sick. It's caused by bad germs that infect your throat, making it hurt to swallow and giving you a high fever. You might also get white spots on your tonsils and swollen neck glands."
Scarlet Fever,"A bacterial illness with a red rash, often associated with strep throat.","This illness causes a red rash on the skin, often accompanied by a high fever, sore throat, and swollen lymph nodes in the neck. It's highly contagious and usually affects children, but can be treated with antibiotics."
Parvovirus B19,"Causes ""fifth disease,"" with a characteristic ""slapped cheek"" rash.","This is a common virus that can cause a mild illness in children, often with a distinctive red rash on the face and a slight fever. It's usually not serious and goes away on its own. Adults can also get it, but it's more serious for them if they have certain health conditions."
Erythema Infectiosum,Another name for fifth disease.,"This is a common childhood illness that causes a rash and a fever. The rash looks like a slap mark on the cheek and a lace-like pattern on the arms and legs. It's contagious, but it usually goes away on its own in a week or two and doesn't cause any serious problems."
Gastroschisis,A birth defect where the intestines develop outside,"Imagine a tiny hole in a baby's tummy wall, near the belly button. Some of the baby's intestines poke out through this hole, which means they're outside the tummy instead of inside where they belong. This happens before the baby is born and needs to be fixed with surgery after birth."
GI (Gastrointestinal),Relating to the stomach and intestines.,"

It's the system in your body that digests the food you eat, breaking it down into tiny bits that your body can use for energy and growth. It includes your mouth, stomach, and intestines, which all work together to turn food into nutrients."
GUS (Genitourinary Syndrome),Disorders related to the genital and urinary systems.,"This is a group of symptoms that affect both men and women as they age. It involves discomfort, dryness, and irritation in the genital area, making everyday activities like using the bathroom or having sex uncomfortable. It can also lead to feelings of embarrassment and low self-esteem."
ICP (Intracranial Pressure),"Pressure inside the skull, often related to brain swelling or injury.","

It's the pressure inside your head, like the air pressure in a tire. When it gets too high, it can be dangerous. Imagine your brain is a delicate instrument, and too much pressure can squeeze or squash it, causing harm."
IM (Intramuscular),Injection or medication administered directly into a muscle.,"When a doctor gives you an injection in a muscle, usually in the arm or leg, it's to help your body absorb medicine quickly. The medicine goes directly into the muscle, where it can start working fast. This way, the medicine can help you feel better sooner."
IMCI (Integrated Management of Childhood Illness),A WHO strategy to improve child health through prevention and treatment of common childhood illnesses.,"It's a way to help doctors and nurses take better care of sick children. They learn to look for many possible causes of illness, not just one, and to treat the whole child, not just the symptoms. This approach helps ensure children get the right treatment and care they need to get better."
IV (Intravenous),Administration of fluids or medications directly into a vein.,"It's a way to give your body what it needs, like medicine or fluids, directly into your bloodstream. A small tube is inserted into a vein in your arm, and the needed substance flows in through the tube, helping your body quickly and efficiently."
NGT (Nasogastric Tube),A tube inserted through the nose into the stomach for feeding or drainage.,"It's a thin tube that goes through the nose and down into the stomach. It helps people who can't eat or drink normally. Food, medicine, or fluids can be given through the tube, and it can also be used to remove stomach contents to help relieve nausea or discomfort."
PaO2 (Partial Pressure of Oxygen),The measure of oxygen levels in arterial blood.,This measures how much oxygen is in your bloodstream. It shows if your lungs are doing a good job of getting oxygen from the air you breathe into your blood. A healthy range means your body has enough oxygen to function properly.
